position,hand,action
UTG,AA,Raise
UTG,AKs,Raise
UTG,AQs,Fold
UTG,AJs,Fold
UTG,ATs,Fold
UTG,A9s,Fold
UTG,A8s,Fold
UTG,A7s,Fold
UTG,A6s,Fold
UTG,A5s,Fold
UTG,A4s,Fold
UTG,A3s,Fold
UTG,A2s,Fold
UTG,AKo,Raise
UTG,KK,Raise
UTG,KQs,Fold
UTG,KJs,Fold
UTG,KTs,Fold
UTG,K9s,Fold
UTG,K8s,Fold
UTG,K7s,Fold
UTG,K6s,Fold
UTG,K5s,Fold
UTG,K4s,Fold
UTG,K3s,Fold
UTG,K2s,Fold
UTG,AQo,Fold
UTG,KQo,Fold
UTG,QQ,Raise
UTG,QJs,Fold
UTG,QTs,Fold
UTG,Q9s,Fold
UTG,Q8s,Fold
UTG,Q7s,Fold
UTG,Q6s,Fold
UTG,Q5s,Fold
UTG,Q4s,Fold
UTG,Q3s,Fold
UTG,Q2s,Fold
UTG,AJo,Fold
UTG,KJo,Fold
UTG,QJo,Fold
UTG,JJ,Raise
UTG,JTs,Fold
UTG,J9s,Fold
UTG,J8s,Fold
UTG,J7s,Fold
UTG,J6s,Fold
UTG,J5s,Fold
UTG,J4s,Fold
UTG,J3s,Fold
UTG,J2s,Fold
UTG,ATo,Fold
UTG,KTo,Fold
UTG,QTo,Fold
UTG,JTo,Fold
UTG,TT,Fold
UTG,T9s,Fold
UTG,T8s,Fold
UTG,T7s,Fold
UTG,T6s,Fold
UTG,T5s,Fold
UTG,T4s,Fold
UTG,T3s,Fold
UTG,T2s,Fold
UTG,A9o,Fold
UTG,K9o,Fold
UTG,Q9o,Fold
UTG,J9o,Fold
UTG,T9o,Fold
UTG,99,Fold
UTG,98s,Fold
UTG,97s,Fold
UTG,96s,Fold
UTG,95s,Fold
UTG,94s,Fold
UTG,93s,Fold
UTG,92s,Fold
UTG,A8o,Fold
UTG,K8o,Fold
UTG,Q8o,Fold
UTG,J8o,Fold
UTG,T8o,Fold
UTG,98o,Fold
UTG,88,Fold
UTG,87s,Fold
UTG,86s,Fold
UTG,85s,Fold
UTG,84s,Fold
UTG,83s,Fold
UTG,82s,Fold
UTG,A7o,Fold
UTG,K7o,Fold
UTG,Q7o,Fold
UTG,J7o,Fold
UTG,T7o,Fold
UTG,97o,Fold
UTG,87o,Fold
UTG,77,Fold
UTG,76s,Fold
UTG,75s,Fold
UTG,74s,Fold
UTG,73s,Fold
UTG,72s,Fold
UTG,A6o,Fold
UTG,K6o,Fold
UTG,Q6o,Fold
UTG,J6o,Fold
UTG,T6o,Fold
UTG,96o,Fold
UTG,86o,Fold
UTG,76o,Fold
UTG,66,Fold
UTG,65s,Fold
UTG,64s,Fold
UTG,63s,Fold
UTG,62s,Fold
UTG,A5o,Fold
UTG,K5o,Fold
UTG,Q5o,Fold
UTG,J5o,Fold
UTG,T5o,Fold
UTG,95o,Fold
UTG,85o,Fold
UTG,75o,Fold
UTG,65o,Fold
UTG,55,Fold
UTG,54s,Fold
UTG,53s,Fold
UTG,52s,Fold
UTG,A4o,Fold
UTG,K4o,Fold
UTG,Q4o,Fold
UTG,J4o,Fold
UTG,T4o,Fold
UTG,94o,Fold
UTG,84o,Fold
UTG,74o,Fold
UTG,64o,Fold
UTG,54o,Fold
UTG,44,Fold
UTG,43s,Fold
UTG,42s,Fold
UTG,A3o,Fold
UTG,K3o,Fold
UTG,Q3o,Fold
UTG,J3o,Fold
UTG,T3o,Fold
UTG,93o,Fold
UTG,83o,Fold
UTG,73o,Fold
UTG,63o,Fold
UTG,53o,Fold
UTG,43o,Fold
UTG,33,Fold
UTG,32s,Fold
UTG,A2o,Fold
UTG,K2o,Fold
UTG,Q2o,Fold
